model,s1_under_s1,s2_under_s2,fear_under_fear,neg_under_negval,s1_under_s1s2,s2_under_s1s2,s1_under_s1s2negval,s2_under_s1s2negval,neg_under_s1s2negval,s1_under_s1s2fear,s2_under_s1s2fear,fear_under_s1s2fear
Llama_3.1_8B_base,0.01104289547743314,0.006291645262095304,0.009223412899050898,0.009054344656341504,0.4437479657037873,0.006607596127631203,0.43482533467233375,0.3549273433596456,0.008478024058850658,0.4878421689076856,0.05748119270823931,0.009466083708125834
Llama_3.1_8B_instruct,0.013889746377402068,0.012114135962290537,0.011622403556303859,0.008176691619516226,0.43457064464172734,0.010259935415680611,0.4280672606675994,0.5776660930919146,0.008024691642344019,0.5158103058127241,0.20926090269937178,0.01334043574226791
Llama_3.3_70B_instruct,0.010107032614112391,0.014990380452993361,0.017146982901188632,0.009349058770082491,0.40660299766149655,0.016800333687084192,0.8019413241868095,1.318986266799454,0.009043997687278078,0.5470626555204288,0.229288352515231,0.01763195110645853
Mistral_7B_base,0.008319144425370857,0.004919371727050891,0.007497874909069021,0.0060494120000537995,0.49239250571133975,0.005513466026920525,0.5079280125543066,0.15289345538725146,0.0054018848410055,0.4737042239535823,0.10371076596350169,0.0073682031043353
Mistral_7B_instruct,0.009010195097426814,0.0067708492528002935,0.0072323978464046024,0.007287454440723738,0.5110298942295015,0.00663589777877813,0.527319635405785,0.24241345317163954,0.006654457032916622,0.5762458707536326,0.22625174855984742,0.0071643217722405575
Mistral_Small_24B_base,0.0097841632689654,0.007211647466889217,0.009460360078729161,0.007232060464076306,0.8411950347845397,0.007748498036280045,0.8882476990415336,0.46359162229018647,0.007667680119596104,0.7545227898696125,0.3125138320737194,0.00905140337594371
Phi_4,0.009412259155382628,0.006362708040949255,0.008755342630068382,0.008460630094110503,0.3391101724959476,0.006242202389768958,0.3410498892144613,0.13725972399181535,0.0086958161961161,0.3411011616374604,0.08949921458991654,0.008942363952051042
Qwen_2.5_32B_base,0.0073334596507877055,0.0055901997573679875,0.005335997248789971,0.004903117400654124,0.943711785470552,0.005691577825004197,0.5490065541162994,1.7826070037131432,0.0048875911168733965,0.41867834298524087,0.8458179254048819,0.005198339645051384
Qwen_2.5_32B_instruct,0.011469576367924889,0.005860367651192238,0.00844271992022996,0.006634812040468306,1.4411319582271251,0.005977475911161858,0.972593742327898,0.3085806017757475,0.006278930589798274,1.188494623807441,0.07986063114989814,0.008741219020562806
Qwen_2.5_72B_base,0.005533685755598708,0.006222344180490446,0.0052591589165102174,0.008419906886348591,0.11098407654847865,0.005382320319060869,0.18285411127945958,0.21620465035682304,0.008582549045365782,0.2824378975274531,0.38631743361343324,0.004763187322370348
Qwen_2.5_72B_instruct,0.011819456641607681,0.007095583582335048,0.010008871326455,0.00801289816874344,0.7953844655803743,0.006659326156833347,0.7645951472863213,0.05082622361947961,0.007602179522195232,0.7875941190536788,0.020841094864038314,0.009175228243384351
Qwen_2.5_7B_base,0.007368302240544415,0.005782652723619551,0.008598310650424539,0.007965348980678107,0.37708388912079643,0.005753915391338901,0.455819104812624,0.2780342978116998,0.007842867663875822,0.4396880266160481,0.22701001439428006,0.007997575141044674
Qwen_2.5_7B_instruct,0.004096744711189236,0.004533022774570541,0.008580295876718776,0.006128389644158415,0.14535712403203171,0.004469166027171103,0.13120058913425872,0.2774733420309907,0.006482708830660904,0.13626045350084018,0.10931717492793108,0.00890694275039583
Qwen_3_14B_base,0.004725703949312938,0.010119400926167412,0.005078016508807843,0.00819653245499295,0.12078503833861245,0.01058942905585879,0.1383019730134851,0.45906110659737925,0.00805477872390136,0.20249882437108535,0.872458183047452,0.0048912609387112465
Qwen_3_8B_base,0.004884716814065294,0.004539504988784042,0.003455863338752771,0.005188110797611327,0.27744724776704743,0.004542148171604125,0.4363724256321665,0.47520454422184216,0.004911442632950555,0.6852086178291448,0.5569005949340826,0.003451105757815199
