model,condition,n,tierA,tierB
Qwen_3_14B_base,fear,100,0,1
Qwen_3_14B_base,s1s2_negval,100,0,1
Qwen_3_14B_base,s1s2_fear,100,0,0
Qwen_3_14B_base,random,100,0,1
Qwen_3_8B_base,baseline,100,0,0
Qwen_3_8B_base,s1,100,0,1
Qwen_3_8B_base,s2,100,0,1
Qwen_3_8B_base,s1s2,100,0,2
Qwen_3_8B_base,negval,100,0,5
Qwen_3_8B_base,fear,100,1,3
Qwen_3_8B_base,s1s2_negval,100,1,2
Qwen_3_8B_base,s1s2_fear,100,0,0
Qwen_3_8B_base,random,100,0,0
