model,vector,stored_mean,stored_population_sd,max_abs_rebuild_error_from_rounded_csv
Gemma_2_2B_instruct,arousal_vector,1.428571428573383e-06,0.9999991570462433,5.114126667726815e-05
Gemma_2_2B_instruct,random_vector,-1.4285714285725135e-06,0.9999992694987128,5.0343384982554085e-05
Gemma_2_2B_instruct,numb_vector,1.190476190473109e-06,0.9999995125110773,5.040684133927886e-05
Gemma_2_2B_instruct,sadness_vector,1.1904761904750268e-06,1.0000003020587696,5.070897007675157e-05
Gemma_2_9B_base,s1_pain_vector,1.6666666666692308e-06,1.0000015847473553,5.0691103808175875e-05
Gemma_2_9B_base,s2_pain_vector,2.3809523809710767e-07,0.9999996244165678,5.0822345741163844e-05
Gemma_2_9B_base,fear_vector,9.523809523803266e-07,0.9999992765230943,4.9905411481754314e-05
Gemma_2_9B_base,negemotion_vector,-1.6666666666648e-06,0.9999994578675118,5.013384732566184e-05
Gemma_2_9B_base,negworld_vector,-9.523809523824893e-07,1.0000004653803907,5.004666355573617e-05
Gemma_2_9B_base,bodysens_vector,-1.6666666666673794e-06,0.9999980137942577,5.0512041709804834e-05
Gemma_2_9B_base,arousal_vector,4.285714285713018e-06,0.9999985887755348,5.1065827289198396e-05
Gemma_2_9B_base,random_vector,-2.3809523809372497e-07,0.9999997835832816,5.0361098551110484e-05
Gemma_2_9B_base,numb_vector,-2.3809523809507143e-07,1.000002103462045,4.986773905746311e-05
Gemma_2_9B_base,sadness_vector,-4.761904761910185e-07,1.0000012550943371,5.047545878189563e-05
Gemma_2_9B_instruct,s1_pain_vector,-7.142857142893963e-07,0.999999868011641,5.054753773436893e-05
Gemma_2_9B_instruct,s2_pain_vector,2.3809523809510036e-07,1.0000008452972335,5.1303263002733246e-05
Gemma_2_9B_instruct,fear_vector,2.3809523809404713e-07,1.0000008103210718,5.069191566242637e-05
Gemma_2_9B_instruct,negemotion_vector,1.666666666664455e-06,1.0000005118675277,5.1037484057214755e-05
Gemma_2_9B_instruct,negworld_vector,-3.0952380952350705e-06,1.0000013288633745,5.158750080380692e-05
Gemma_2_9B_instruct,bodysens_vector,9.523809523807639e-07,0.9999997824519038,5.028611402202454e-05
Gemma_2_9B_instruct,arousal_vector,2.142857142855821e-06,0.9999979161979139,5.078396411684061e-05
Gemma_2_9B_instruct,random_vector,1.4285714285687363e-06,0.9999990028080062,4.971824544552916e-05
Gemma_2_9B_instruct,numb_vector,-1.4285714285725827e-06,0.999995331297605,5.0895962173558296e-05
Gemma_2_9B_instruct,sadness_vector,-1.9047619047634467e-06,0.9999977456861212,5.080257050171788e-05
Gemma_3_27B_base,s1_pain_vector,-2.380952380952683e-06,0.9999996772113992,5.0031890110213695e-05
Gemma_3_27B_base,s2_pain_vector,9.523809523813433e-07,0.9999996915233084,4.99146200899081e-05
Gemma_3_27B_base,fear_vector,-2.380952380955231e-06,0.9999999989495465,4.98724242203874e-05
Gemma_3_27B_base,negemotion_vector,1.6666666666635424e-06,1.0000000268676583,4.9867829987393364e-05
Gemma_3_27B_base,negworld_vector,2.3809523809495166e-07,1.0000006377735777,5.004189952728666e-05
Gemma_3_27B_base,bodysens_vector,2.6190476190464922e-06,1.0000011253411751,4.98053103449303e-05
Gemma_3_27B_base,arousal_vector,-2.380952380950157e-07,0.9999997004642125,5.003691343172245e-05
Gemma_3_27B_base,random_vector,4.7619047619472997e-07,1.0000026090679115,4.9940679831980694e-05
Gemma_3_27B_base,numb_vector,-1.6666666666626348e-06,0.9999998399866935,4.986580032051435e-05
Gemma_3_27B_base,sadness_vector,1.4285714285674383e-06,1.000000624427356,4.991339669610517e-05
Gemma_3_27B_instruct,s1_pain_vector,-1.6666666666678565e-06,0.9999991030101135,4.99874126244082e-05
Gemma_3_27B_instruct,s2_pain_vector,1.1904761904767564e-06,0.9999992353204276,4.995539248253689e-05
Gemma_3_27B_instruct,fear_vector,2.142857142860548e-06,0.9999992997236493,4.993963701149795e-05
Gemma_3_27B_instruct,negemotion_vector,-7.142857142865061e-07,1.000000962249282,4.988935146763018e-05
Gemma_3_27B_instruct,negworld_vector,-7.142857142854281e-07,1.000001022653984,4.997469253567588e-05
Gemma_3_27B_instruct,bodysens_vector,2.8571428571445454e-06,0.9999991515193679,4.9895027614987875e-05
Gemma_3_27B_instruct,arousal_vector,-2.38095238098101e-07,0.9999986852967265,4.9899218030335923e-05
Gemma_3_27B_instruct,random_vector,6.226418190559611e-19,1.0000019161410214,4.9711404860763864e-05
Gemma_3_27B_instruct,numb_vector,-2.380952380975073e-07,0.9999970034597677,4.9885516917980155e-05
Gemma_3_27B_instruct,sadness_vector,1.1904761904761501e-06,1.0000007789632737,4.9917169509416937e-05
Llama_3.1_70B_base,s1_pain_vector,-1.9047619047621618e-06,1.0000026386137524,5.4262818326655804e-05
Llama_3.1_70B_base,s2_pain_vector,3.0952380952393527e-06,1.0000009400781011,5.356176683535274e-05
Llama_3.1_70B_base,fear_vector,-1.2142857142857916e-05,1.0000011728898734,6.512709666695038e-05
Llama_3.1_70B_base,negemotion_vector,-6.190476190477898e-06,1.0000118375536324,7.90667050560856e-05
Llama_3.1_70B_base,negworld_vector,1.1904761904769913e-06,1.0000070320817092,6.675591719984553e-05
Llama_3.1_70B_base,bodysens_vector,3.0952380952344624e-06,0.9999944456583558,6.750448165604439e-05
Llama_3.1_70B_base,arousal_vector,2.023809523809593e-05,1.0000087311499504,9.033443569594901e-05
Llama_3.1_70B_base,random_vector,-2.6190476190501146e-06,0.9999975951484406,5.69916230150902e-05
Llama_3.1_70B_base,sadness_vector,-3.8095238095217676e-06,0.9999918141259062,7.377762901183971e-05
Llama_3.1_70B_instruct,s1_pain_vector,5.476190476191365e-06,1.00000201501869,5.3168016747040525e-05
Llama_3.1_70B_instruct,s2_pain_vector,-2.40476190476201e-05,0.9999870441626434,9.917077850563061e-05
Llama_3.1_70B_instruct,fear_vector,-8.095238095242777e-06,0.9999973037969322,5.800835375469049e-05
Llama_3.1_70B_instruct,negemotion_vector,1.0952380952380326e-05,0.9999928094855995,7.312185880126165e-05
Llama_3.1_70B_instruct,negworld_vector,4.0476190476125795e-06,0.9999979708111781,5.488002504006051e-05
Llama_3.1_70B_instruct,bodysens_vector,-3.047619047618809e-05,0.9999822419731653,0.00010207350414637162
Llama_3.1_70B_instruct,arousal_vector,-5.238095238095106e-06,0.9999863171545758,8.297917020172463e-05
Llama_3.1_70B_instruct,random_vector,-1.880952380952824e-05,0.9999946146300284,7.399470914770667e-05
Llama_3.1_70B_instruct,sadness_vector,-6.904761904761784e-06,0.9999961380044189,6.237298544853331e-05
Llama_3.1_8B_base,s1_pain_vector,1.2857142857138836e-05,0.9999932724185263,6.736480412938839e-05
Llama_3.1_8B_base,s2_pain_vector,4.7619047619206245e-07,0.9999962939215905,5.461098675518805e-05
Llama_3.1_8B_base,fear_vector,-3.095238095237238e-06,0.9999996532927687,5.393942832188081e-05
Llama_3.1_8B_base,negemotion_vector,-4.523809523806496e-06,0.9999910263661712,6.8827869385224e-05
Llama_3.1_8B_base,negworld_vector,-3.0952380952352637e-06,0.9999902471500317,6.671039629546627e-05
Llama_3.1_8B_base,bodysens_vector,-8.809523809527493e-06,0.9999811786531222,0.00011003655106822663
Llama_3.1_8B_base,arousal_vector,5.4761904761884165e-06,1.000000696972858,5.5120816861098376e-05
Llama_3.1_8B_base,random_vector,1.4285714285702862e-06,1.0000001187608774,5.247900785043669e-05
Llama_3.1_8B_base,numb_vector,6.428571428573804e-06,0.9999894183876372,7.110512929209278e-05
Llama_3.1_8B_base,sadness_vector,-1.42857142856627e-06,0.9999942857207483,5.979507020903441e-05
Llama_3.1_8B_instruct,s1_pain_vector,-1.3333333333332003e-05,1.0000091473216555,7.454463768885589e-05
Llama_3.1_8B_instruct,s2_pain_vector,3.3333333333358524e-06,0.9999872834135887,7.399986432332639e-05
Llama_3.1_8B_instruct,fear_vector,-1.7857142857144366e-05,0.9999836788859433,9.791970146899587e-05
Llama_3.1_8B_instruct,negemotion_vector,9.76190476190416e-06,0.9999922469342023,8.353904637603549e-05
Llama_3.1_8B_instruct,negworld_vector,-1.833333333333353e-05,0.9999997347009569,6.745673127964147e-05
Llama_3.1_8B_instruct,bodysens_vector,1.6190476190473483e-05,1.0000013888917791,6.644641150543862e-05
Llama_3.1_8B_instruct,arousal_vector,-2.8571428571431804e-06,0.9999939253108008,6.752150439526261e-05
Llama_3.1_8B_instruct,random_vector,-2.6428571428573244e-05,1.0000200003912336,0.0001041337338871795
Llama_3.1_8B_instruct,numb_vector,-6.190476190477054e-06,0.9999844740745976,8.901372766123572e-05
Llama_3.1_8B_instruct,sadness_vector,1.4761904761904919e-05,0.9999936230611867,8.032147932812705e-05
Llama_3.3_70B_instruct,s1_pain_vector,7.619047619045968e-06,0.9999946937902304,6.19236234729037e-05
Llama_3.3_70B_instruct,s2_pain_vector,-7.619047619050851e-06,1.0000024732774404,5.954577239963843e-05
Llama_3.3_70B_instruct,fear_vector,1.9047619047638503e-06,0.9999939514084646,6.264410546164001e-05
Llama_3.3_70B_instruct,negemotion_vector,-1.66666666666578e-06,0.9999963204799369,5.6100441938378154e-05
Llama_3.3_70B_instruct,negworld_vector,-3.571428571430082e-06,0.999999502529213,5.473317639403952e-05
Llama_3.3_70B_instruct,bodysens_vector,8.333333333332424e-06,0.9999963956849727,6.580346148177263e-05
Llama_3.3_70B_instruct,arousal_vector,-1.4285714285743318e-06,0.9999975388054747,5.2955817333444344e-05
Llama_3.3_70B_instruct,random_vector,6.190476190472861e-06,1.0000003039331737,5.6674336271989034e-05
Llama_3.3_70B_instruct,sadness_vector,-6.904761904756366e-06,1.0000035703626455,5.754238174149329e-05
