model,is_base,"pain (mean S1,S2)|self_directed","pain (mean S1,S2)|user_suffering","pain (mean S1,S2)|control",fear|self_directed,fear|user_suffering,fear|control,neg-emotion|self_directed,neg-emotion|user_suffering,neg-emotion|control,neg-world|self_directed,neg-world|user_suffering,neg-world|control,sadness|self_directed,sadness|user_suffering,sadness|control,n_self,n_user,n_ctrl,pain_raw_s2|self_directed,pain_raw_s2|user_suffering,pain_raw_s2|control,pain_raw_s2|sd_ctrl,pain_raw_s1|self_directed,pain_raw_s1|user_suffering,pain_raw_s1|control,pain_raw_s1|sd_ctrl
Llama_3.1_8B_instruct,False,0.4156095454545455,-0.616102,-0.2982600000000001,0.17769409090909088,0.43745699999999993,-0.8284590000000001,0.13774590909090909,0.48526500000000006,-0.788265,-0.46908318181818176,0.8968599999999999,0.13504599999999997,0.2811704545454546,0.26055300000000003,-0.8790660000000001,220,100,100,-0.31323636363636365,-0.41738499999999995,-0.43800000000000006,0.13166298188936781,-0.16052999999999998,-0.28545099999999995,-0.20183500000000001,0.1159395492271727
Llama_3.3_70B_instruct,False,0.32630181818181825,-0.23555299999999998,-0.482311,0.06127454545454542,0.7959589999999999,-0.930755,0.09049363636363636,0.6323219999999999,-0.8314149999999999,-0.4144213636363636,1.0319530000000001,-0.12024100000000003,-0.5347322727272728,0.7820629999999998,0.394319,220,100,100,-0.021833181818181814,0.018480000000000003,-0.053087,0.11571184697774035,0.26599954545454546,0.009311999999999999,0.019431999999999998,0.15355900942634398
Mistral_7B_base,True,0.5889129545454544,-1.1273849999999999,-0.1682505,0.42190727272727274,0.19942000000000001,-1.12762,0.36918,0.39596700000000007,-1.208146,-0.24052863636363642,0.976902,-0.447797,0.30935863636363636,0.04350800000000001,-0.7241219999999999,220,100,100,-0.08876454545454544,-0.23902800000000002,-0.194877,0.045300699453761195,-0.14383909090909092,-0.29383700000000007,-0.171807,0.051887775544920016
Mistral_7B_instruct,False,0.54652,-0.8173340000000002,-0.38502000000000003,0.004481818181818168,0.569088,-0.578874,0.020456818181818156,0.46134900000000006,-0.5063689999999998,-0.40947636363636364,0.702334,0.19845,-0.16346499999999997,0.07714900000000002,0.28251499999999996,220,100,100,0.16027409090909092,-0.09922600000000001,0.002355000000000001,0.13943328826001342,-0.02837272727272727,-0.17071699999999995,-0.13816199999999998,0.10556235198213425
Mistral_Small_24B_base,True,0.4718131818181817,-1.0397925,0.0018055000000000154,0.14491363636363636,0.8214229999999999,-1.1402729999999999,0.22902318181818182,0.41546600000000006,-0.9194060000000001,-0.30010136363636364,1.0012249999999998,-0.34115300000000004,0.21341772727272726,0.07323700000000001,-0.5427679999999999,220,100,100,0.02038818181818182,-0.11838500000000002,0.017039,0.06973625440902315,-0.2532222727272727,-0.529326,-0.38619299999999995,0.05654629829617496
Phi_4,False,0.608106590909091,-0.8777185000000002,-0.46012000000000003,-0.2809904545454545,0.19132200000000005,0.42676400000000003,0.06495727272727274,-0.111697,-0.03115099999999999,-0.2859390909090909,0.35664399999999996,0.27242,-0.10404772727272729,0.33584400000000003,-0.10696499999999999,220,100,100,-0.13337545454545455,-0.34503000000000006,-0.286696,0.08830181416029911,-0.3592459090909091,-0.5637679999999999,-0.505067,0.08726182791461566
Qwen_2.5_32B_base,True,0.505994090909091,-1.0538914999999998,-0.05929400000000002,0.4858009090909091,-0.067573,-1.001196,0.3560372727272727,-0.164153,-0.619126,-0.14915363636363632,0.33524199999999993,-0.007105,0.37289681818181813,0.320074,-1.1404329999999998,220,100,100,-6.945007727272727,-10.513653000000001,-7.382883999999999,1.4487647367133145,-4.758755454545454,-7.959685,-6.591006,1.1873371412383258
Qwen_2.5_32B_instruct,False,0.32634386363636364,-0.49265049999999994,-0.22530850000000002,0.2863309090909091,0.678266,-1.308198,0.3089104545454545,0.550708,-1.230305,0.07105409090909091,0.7541840000000001,-0.910502,-0.03312000000000001,0.557515,-0.48464599999999997,220,100,100,0.7001068181818181,0.22146000000000002,0.7045960000000001,1.6537752581847394,2.6007409090909093,-0.19171999999999997,0.35960100000000006,1.6545901070957123
Qwen_2.5_72B_base,True,0.3814329545454545,0.32414199999999993,-1.163292,0.3098777272727272,0.40200400000000003,-1.083753,0.3765495454545455,0.3927389999999999,-1.221163,-0.07863045454545457,0.795651,-0.622657,0.025723181818181826,0.838896,-0.895488,220,100,100,-16.334137727272726,-17.908813999999996,-27.660299,5.919114121141693,-18.420191818181817,-17.727137000000003,-29.812398,5.84098311394546
Qwen_2.5_72B_instruct,False,0.5879181818181818,-0.8530509999999998,-0.44036500000000006,0.34216318181818184,0.388757,-1.1415199999999999,0.18022318181818184,0.595906,-0.9923919999999998,-0.30023272727272726,1.00472,-0.3442160000000001,-0.15191045454545454,0.7456480000000002,-0.411444,220,100,100,-4.297222727272728,-7.188693999999999,-5.982751000000002,1.4645119032288538,1.7339281818181818,-0.314699,-0.026400999999999963,1.282928613173391
